filing_date,quarter,symbol,percentage,value,price_before,price_after,price_change_pct,hld_pct_change
2016-08-15,Q2 2016,AMZN,20.7,1047759,38.62799835205078,38.20199966430664,-1.1028236147823178,69.34436695409035
2016-11-14,Q3 2016,AMZN,16.2,1124129,36.95050048828125,37.1619987487793,0.5723826679022196,7.2888899069347035
2017-02-14,Q4 2016,AMZN,12.9,1036267,41.82649993896485,42.1349983215332,0.7375668129500065,-7.816006881772464
2017-05-15,Q1 2017,AMZN,12.0,1199489,48.067501068115234,48.30350112915039,0.4909763474092954,15.750959936001042
2017-08-14,Q2 2017,AMZN,10.4,1203108,48.39950180053711,49.137001037597656,1.523774439042599,0.30171181228006994
2017-11-14,Q3 2017,AMZN,10.0,1478268,56.45849990844727,56.33449935913086,-0.2196313212669212,22.87076471937681
2018-02-14,Q4 2017,AMZN,10.3,1305304,70.72550201416016,73.08799743652344,3.34037278645301,-11.700449444890914
2018-05-15,Q1 2018,AMZN,11.5,1732683,80.0770034790039,79.36399841308594,-0.8903992843649773,32.741721468715326
2018-08-14,Q2 2018,AMZN,10.6,2034916,94.80999755859376,94.13099670410156,-0.7161701001759404,17.443063734104847
2018-11-14,Q3 2018,AMZN,11.4,2397891,81.55850219726562,80.97200012207031,-0.7191182518000875,17.83734562016319
2019-02-14,Q4 2018,AMZN,7.4,1117487,82.0,80.39749908447266,-1.9542694091796875,-53.39708935894083
2019-05-15,Q1 2019,AMZN,6.9,1253847,92.00599670410156,95.37850189208984,3.665527583853605,12.202379088078885
2019-08-14,Q2 2019,AMZN,7.2,1333328,91.21700286865234,88.80599975585938,-2.6431509882699014,6.338971182289388
2019-11-14,Q3 2019,AMZN,6.5,1222275,87.65550231933594,86.97450256347656,-0.776904743958273,-8.32900831603326
2020-02-14,Q4 2019,AMZN,6.2,1130952,107.49349975585938,107.78350067138672,0.2697846066841228,-7.471559182671661
2020-05-15,Q1 2020,AMZN,6.5,1076869,119.44249725341795,121.31300354003906,1.566030792752508,-4.782077400278705
2020-08-14,Q2 2020,AMZN,6.3,1636063,158.05099487304688,159.12049865722656,0.6766827282794122,51.9277646584682
2020-11-16,Q3 2020,AMZN,5.4,1904352,156.4405059814453,156.7830047607422,0.2189322881233184,16.398451648866818
2021-02-16,Q4 2020,AMZN,5.1,1996808,163.885498046875,165.4320068359375,0.943652005511899,4.85498479272739
2021-05-17,Q1 2021,AMZN,4.4,1896965,161.14500427246094,161.61399841308594,0.2910385852434082,-5.0001302078116705
2021-08-16,Q2 2021,AMZN,3.6,1953564,164.69850158691406,162.09800720214844,-1.5789423459892875,2.9836607422909722
2021-11-15,Q3 2021,AMZN,3.6,1865476,176.25750732421875,177.03500366210938,0.4411138848460231,-4.5090921003867805
2022-02-14,Q4 2021,AMZN,2.6,1177996,153.2935028076172,156.510498046875,2.098585511021384,-36.852792531236
2022-05-16,Q1 2022,AMZN,1.8,481635,113.05500030517578,115.36849975585938,2.046348630700661,-59.11403773866803
2022-08-15,Q2 2022,AMZN,2.3,277612,143.5500030517578,144.77999877929688,0.8568413106167474,-42.360501209422075
2022-11-14,Q3 2022,AMZN,2.8,302326,100.79000091552734,98.94000244140624,-1.8354980229354176,8.902352924225188
2023-02-14,Q4 2022,AMZN,8.8,721592,99.54000091552734,101.16000366210938,1.6274891819187491,138.6801002890919
2023-05-15,Q1 2023,AMZN,9.1,1000381,110.26000213623048,113.4000015258789,2.847813648478664,38.63526757502855
2023-08-14,Q2 2023,AMZN,4.0,481716,138.41000366210938,137.6699981689453,-0.5346474052342242,-51.84674638962555
2023-11-14,Q3 2023,AMZN,3.7,500222,142.58999633789062,143.1999969482422,0.4278004250074212,3.8416826511886715
2024-02-14,Q4 2023,AMZN,5.3,741844,168.63999938964844,169.8000030517578,0.6878579615202365,48.302953488651035
2024-05-15,Q1 2024,AMZN,6.2,1140196,187.07000732421875,183.6300048828125,-1.8388850733534423,53.697542879635066
2024-08-14,Q2 2024,AMZN,5.6,1221548,170.22999572753906,177.58999633789062,4.323562706382007,7.134913646425711
2024-11-14,Q3 2024,AMZN,5.1,1195397,214.1000061035156,202.6100006103516,-5.366653510326729,-2.140808220389212
2025-02-14,Q4 2024,AMZN,5.3,1407493,230.3699951171875,226.6499938964844,-1.614794157030211,17.7427248018859
2025-05-15,Q1 2025,AMZN,4.7,1253525,210.25,205.58999633789065,-2.21641077864893,-10.939166304912352
2015-11-16,Q3 2015,ANET,0.3,24476,4.074375152587891,4.321875095367432,6.074549679656728,
2016-02-16,Q4 2015,ANET,0.3,31136,3.515000104904175,3.7412500381469727,6.436697766441911,27.21032848504659
2020-08-14,Q2 2020,API,0.0,3092,37.75,42.79999923706055,13.377481422676944,
2020-11-16,Q3 2020,API,0.0,3009,39.0,36.97999954223633,-5.179488353240185,-2.6843467011642974
2021-02-16,Q4 2020,API,0.2,68285,106.13999938964844,98.62000274658205,-7.084978977114835,2169.358590893985
2021-05-17,Q1 2021,API,0.2,86772,37.630001068115234,40.150001525878906,6.696785506867621,27.073295745771397
2021-08-16,Q2 2021,API,0.1,72428,28.51000022888184,27.1200008392334,-4.875480106942649,-16.53067809892592
2021-11-15,Q3 2021,API,0.1,50058,26.3700008392334,26.040000915527344,-1.251421741386824,-30.885845253216992
2022-02-14,Q4 2021,API,0.0,1135,10.81999969482422,11.199999809265137,3.512015944165805,-97.73263014902713
2017-05-15,Q1 2017,APO,5.7,567505,19.441864013671875,19.69407844543457,1.2972749505157195,
2017-08-14,Q2 2017,APO,7.5,869814,21.565166473388672,22.30626106262207,3.4365354431550816,53.26983903225522
2017-11-14,Q3 2017,APO,7.0,1024899,21.81044006347656,21.675945281982425,-0.616653222505875,17.829673930288536
2018-02-14,Q4 2017,APO,9.0,1145437,25.421735763549805,26.141151428222656,2.8299234614198303,11.760963763258614
2018-05-15,Q1 2018,APO,6.8,1016642,23.191030502319336,23.22191619873047,0.1331794911314697,-11.244180168791473
2018-08-14,Q2 2018,APO,5.7,1097055,26.61642837524414,26.741573333740234,0.4701793821912285,7.909667316518498
2018-11-14,Q3 2018,APO,5.6,1189308,23.026588439941406,22.38497734069824,-2.786392352113437,8.40914995146096
2019-02-14,Q4 2018,APO,6.2,924262,24.270751953125,24.35127830505371,0.3317835066842365,-22.28573254363041
2019-05-15,Q1 2019,APO,5.9,1063994,26.831764221191406,27.209213256835938,1.406724628812989,15.118224053352836
2019-08-14,Q2 2019,APO,7.0,1291858,27.954212188720703,26.299707412719727,-5.9186242303353325,21.41591024009535
2019-11-14,Q3 2019,APO,7.5,1424434,36.49496078491211,37.13744735717773,1.760480237401007,10.262428223535402
2020-02-14,Q4 2019,APO,9.9,1796926,39.9078483581543,39.80325698852539,-0.2620822067134453,26.15017614013706
